                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     27,                0.47939,                 0.4097,                0.94508,                0.76458,                0.64221,                0.70655,                0.52918,                0.91096,                  1.173,                 1.2663,              0.0002426,              0.0002426,              0.0002426
                     28,                0.47997,                0.40827,                0.94778,                0.72303,                0.68369,                0.69379,                0.51554,                0.92167,                 1.2595,                 1.2787,              0.0002327,              0.0002327,              0.0002327
                     29,                0.47255,                0.39808,                0.93995,                0.72242,                0.70281,                0.70247,                0.52262,                 0.9091,                 1.1305,                 1.2594,              0.0002228,              0.0002228,              0.0002228
                     30,                0.46229,                0.38582,                0.93284,                 0.7086,                0.68653,                0.70288,                0.53231,                0.92509,                 1.1827,                 1.2654,              0.0002129,              0.0002129,              0.0002129
                     31,                0.45822,                0.38038,                0.93208,                0.72694,                0.69737,                0.71778,                0.54558,                0.91594,                 1.1185,                 1.3006,               0.000203,               0.000203,               0.000203
                     32,                 0.4564,                0.37471,                0.93318,                0.75864,                0.66588,                0.71932,                0.54251,                0.90175,                 1.1363,                 1.2493,              0.0001931,              0.0001931,              0.0001931
                     33,                0.45084,                0.37411,                 0.9339,                0.74671,                 0.7122,                0.72908,                0.55012,                0.89721,                 1.0947,                 1.2533,              0.0001832,              0.0001832,              0.0001832
                     34,                0.44048,                0.36396,                0.92489,                0.75732,                0.68513,                0.71296,                 0.5396,                0.89709,                 1.1572,                 1.2625,              0.0001733,              0.0001733,              0.0001733
                     35,                0.43398,                0.35557,                0.92249,                0.74409,                0.65623,                0.70558,                0.53357,                0.89871,                 1.1438,                 1.2553,              0.0001634,              0.0001634,              0.0001634
                     36,                 0.4331,                0.34953,                0.92072,                0.76984,                0.66542,                0.70228,                0.53288,                0.89991,                 1.1847,                 1.2729,              0.0001535,              0.0001535,              0.0001535
                     37,                0.42455,                0.34898,                  0.922,                0.74531,                0.68988,                0.71298,                0.54038,                0.88144,                 1.1313,                 1.2396,              0.0001436,              0.0001436,              0.0001436
                     38,                0.42549,                0.34711,                0.92075,                0.75858,                0.66561,                0.70645,                 0.5343,                0.90425,                 1.1602,                 1.2581,              0.0001337,              0.0001337,              0.0001337
                     39,                0.41684,                0.33664,                0.91549,                0.75304,                0.65723,                0.71238,                0.54031,                0.90195,                 1.1602,                 1.2669,              0.0001238,              0.0001238,              0.0001238
                     40,                0.40494,                0.32681,                0.91046,                0.73021,                0.66818,                0.71438,                0.54774,                0.88741,                 1.1463,                 1.2438,              0.0001139,              0.0001139,              0.0001139
                     41,                0.37508,                0.30716,                0.89389,                0.73965,                0.70291,                0.72638,                0.55226,                0.88627,                 1.1409,                 1.2671,               0.000104,               0.000104,               0.000104
                     42,                0.35825,                0.28389,                0.88364,                0.74098,                0.70216,                0.72581,                0.54641,                0.88912,                 1.1045,                 1.2617,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                0.34564,                0.27222,                0.87378,                0.72245,                0.70464,                0.73037,                 0.5524,                 0.8839,                 1.1224,                 1.2532,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                0.33682,                0.26806,                0.87399,                0.74116,                0.69894,                0.72519,                0.54763,                0.88611,                 1.1396,                 1.2759,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                0.33273,                0.26609,                 0.8668,                 0.7564,                0.68866,                0.71643,                0.54869,                0.87204,                 1.1569,                 1.2538,               6.44e-05,               6.44e-05,               6.44e-05
                     46,                0.32494,                0.25809,                0.86424,                0.77435,                0.66666,                0.72349,                0.55402,                0.87986,                 1.1716,                 1.2584,               5.45e-05,               5.45e-05,               5.45e-05
                     47,                0.31328,                0.25172,                0.85849,                0.77172,                0.65554,                0.71982,                0.55114,                 0.8816,                 1.1622,                 1.2625,               4.46e-05,               4.46e-05,               4.46e-05
                     48,                0.30076,                0.24062,                0.85588,                0.75358,                0.68176,                0.72148,                0.55288,                0.87785,                 1.1605,                 1.2656,               3.47e-05,               3.47e-05,               3.47e-05
                     49,                0.30083,                0.23904,                0.85034,                0.75476,                0.67847,                0.71921,                0.55366,                0.86572,                 1.1329,                 1.2527,               2.48e-05,               2.48e-05,               2.48e-05
                     50,                0.29386,                0.23478,                0.85015,                0.76341,                 0.6774,                0.71903,                0.55189,                 0.8669,                 1.1434,                 1.2524,               1.49e-05,               1.49e-05,               1.49e-05
