                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.37155,                 0.2887,                0.89528,                0.75301,                0.67737,                  0.701,                 0.5361,                 0.9274,                 1.2281,                  1.296,              0.0001535,              0.0001535,              0.0001535
                     37,                0.36757,                0.28798,                0.89847,                0.74366,                0.65834,                0.69651,                0.53731,                0.91031,                 1.2403,                 1.2583,              0.0001436,              0.0001436,              0.0001436
                     38,                0.36587,                 0.2875,                0.89442,                0.76819,                0.66648,                0.70566,                0.54195,                0.91655,                 1.2256,                 1.2808,              0.0001337,              0.0001337,              0.0001337
                     39,                0.35822,                0.27811,                0.89302,                 0.7608,                0.66743,                0.70655,                0.53934,                0.91335,                 1.2498,                 1.2796,              0.0001238,              0.0001238,              0.0001238
                     40,                0.35164,                0.27228,                 0.8899,                0.72595,                0.67758,                 0.7133,                0.54726,                 0.9134,                 1.2235,                 1.2749,              0.0001139,              0.0001139,              0.0001139
                     41,                  0.312,                0.25722,                0.86556,                0.77241,                0.65314,                0.71032,                0.54093,                0.91326,                 1.1782,                 1.3055,               0.000104,               0.000104,               0.000104
                     42,                0.29741,                0.24027,                0.85852,                0.74426,                0.67152,                 0.7108,                0.54087,                0.89725,                 1.1799,                 1.2866,               9.41e-05,               9.41e-05,               9.41e-05
                     43,                0.29136,                0.23396,                0.85187,                0.76008,                0.67528,                0.71396,                0.54945,                0.89813,                 1.1595,                 1.2916,               8.42e-05,               8.42e-05,               8.42e-05
                     44,                0.28321,                0.22941,                0.85277,                0.77169,                0.65493,                0.71412,                0.55007,                 0.8928,                 1.1873,                 1.2858,               7.43e-05,               7.43e-05,               7.43e-05
                     45,                0.28387,                0.22786,                0.84709,                0.76287,                0.67454,                0.71376,                0.55391,                0.89561,                 1.1974,                 1.2789,               6.44e-05,               6.44e-05,               6.44e-05
                     46,                0.27806,                0.22186,                0.84412,                0.78103,                0.65157,                 0.7197,                0.55219,                0.90006,                 1.2011,                 1.2807,               5.45e-05,               5.45e-05,               5.45e-05
                     47,                 0.2708,                0.21997,                0.84178,                 0.7717,                 0.6561,                0.71353,                0.54873,                0.89582,                 1.1974,                 1.2651,               4.46e-05,               4.46e-05,               4.46e-05
                     48,                0.26003,                0.20923,                0.84013,                0.74476,                0.67518,                0.71332,                0.55141,                 0.8958,                 1.1825,                 1.2619,               3.47e-05,               3.47e-05,               3.47e-05
                     49,                 0.2618,                0.20909,                0.83522,                0.77019,                0.67554,                0.71941,                0.55585,                0.89035,                 1.1746,                  1.265,               2.48e-05,               2.48e-05,               2.48e-05
                     50,                0.25583,                0.20651,                 0.8363,                0.77847,                0.66883,                0.72098,                0.55837,                 0.8882,                 1.1759,                 1.2637,               1.49e-05,               1.49e-05,               1.49e-05
